"","GBIF.ID.number","Garden.herbarium.catalog.number","Consortium.Herbarium.Websites","Provenance","Brief.Explanation.of.Provenance","Lenticel.shape.0..Small..round..white..and.abundant.lenticels..evenly.distributed..If.elongated..the.elongation.is.perpendicular.to.the.branch..1..Small..round..white..and.abundant.lenticels..with.patchy.distribution..If.elongated..the.elongation.is.parallel.to.the.branch..2..Large..tan..corky.lenticels.with.a.patchy.distribution..Many.are.dash.shaped.and.elongated.parallel.to.the.branch.","Terminal.bud.0..Elongated..slender..conical.and.tan.colored.1..Broadest.at.the.base..less.elongated..and.slightly.green.colored","Thickness.of.twig","Color.of.twig","Hair.Texture.of.twig","Leaf.scar.0..Top.edge.of.most.leaf.scars.is.straight.or.slightly.arched.1..Top.edge.of.some.leaf.scars.has.a.small.descending..V..shaped.notched..an.arch..2..Top.edge.of.most.or.all.leaf.scars.has.a.clear.descending..V..shaped.notch.","Nut.presence...Y.N.","Shape.texture.of.nut.0..Cylindrical.nut..round.in.cross.section..with.thin..sharp.corrugations..The.suture.seam.is.not.easily.distinguished.from.the.longitudinal.ridges.1..Slightly.asymmetrical.nut..with.noticeable.valleys.between.longitudinal.ridges.2..Asymmetric..diamond.shaped.or.flattened.nut..with.dull.or.sparse.corrugations..The.suture.seam.is.easily.identified.and.forms.the.widest.part.of.the.nut.s.body.","Catkin.presence...Y.N.","Color.of.bark..0..Dark.grey.or.black.1..Light.grey.or.silvery.2..Tan.or.slightly.pinkish","Pith.color.0..Dark.chocolate.brown.1..Light.brown.2..tan.honey.brown","Leaf..1.length..cm.","Leaf..2.length..cm.","Leaf..3.length..cm.","Leaf..4.length..cm.","Leaf..5.length..cm.","Leaves.0..Most.leaves.less.than.45.72.cm.long.1..Many.leaves.45.72.cm.or.longer","Length.of.nut..1..cm.","Length.of.nut..2..cm.","Length.of.nut..3..cm.","Length.of.nut..4..cm.","Length.of.nut..5..cm.","Width.of.nut..1..cm.","Width.of.nut..2..cm.","Width.of.nut..3..cm.","Width.of.nut..4..cm.","Width.of.nut..5..cm.","Catkin.length..1..cm.","Catkin.length..2..cm.","Catkin.length..3..cm.","Catkin.length..4..cm.","Catkin.length..5..cm.","Catkin.length.score.0...Shorter.than.11.43.cm.1..Betweeen.11.43...13.97.cm..2..Longer.than.13.97.cm","Leaflet.amount..1","Leaflet.amount..2","Leaflet.amount..3","Leaflet.amount..4","Leaflet.amount..5","Score..3...Butternut..3...hybrid.or.heartnut","Habitat","Latitude","Longitude","Year","Month","Day","Notes"
"1",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,0.221,3.911233,NA,NA,NA,TRUE,0.0670000000000002,NA,NA,NA,NA,-0.0340000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,-0.0779999999999959,-1.056,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,3.555,0.314,0.76,3.429,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00599999999999978,3.149,1.485,0.106,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,TRUE,NA,NA,4.42,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0969999999999995,0.0335999999999999,0.154999999999999,-0.0629999999999997,NA,FALSE,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,0.366999999999999,-0.0429999999999993,0.744,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102,3.483,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,NA,TRUE,NA,NA,0.334000000000003,0.643000000000001,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,NA,TRUE,NA,NA,18.478,21.254,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,NA,FALSE,0.347999999999999,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,2.247,0.305000000000001,-0.205,-0.234999999999999,NA,TRUE,0.27,0.101,-0.004,NA,NA,-0.0509999999999997,-0.125,-0.0339999999999998,NA,NA,-1.162,-0.595,0.177,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,-0.358000000000001,-0.733000000000004,NA,NA,NA,TRUE,0.221,0.0519999999999996,NA,NA,NA,-0.012,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,-0.589000000000006,-0.417999999999999,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,12.553,31.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,TRUE,NA,NA,-0.433,-0.454000000000001,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,-1.438,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,TRUE,NA,TRUE,2.308,2.183,1.315,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.638,-0.772,0.115,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,NA,NA,-0.137,0.616,-0.0960000000000036,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,NA,TRUE,NA,NA,8.012,24.181,36.294,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.676,21.691,22.032,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,NA,TRUE,NA,NA,0.823,1.07,NA,NA,NA,NA,0.0809999999999995,0.101,NA,NA,NA,0.0129999999999999,0.0650000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,0.498999999999999,16.623,-0.449999999999996,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,10.707,5.381,1.685,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.874,-3.55,-5.087,-6.459,-6.305,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA,-0.246,-0.917,0.141,1.538,0.0390000000000015,TRUE,0.0490000000000004,NA,NA,NA,NA,-0.0260000000000002,NA,NA,NA,NA,-0.0210000000000001,-0.056,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,12.115,10.084,1.932,4.028,1.771,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.032,3.133,5.265,4.058,4.454,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,NA,NA,0.135999999999999,2.247,1.364,2.572,-0.0570000000000022,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.653,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,NA,NA,5.016,1.629,2.2,NA,NA,TRUE,0.243,0.267,NA,NA,NA,0.102,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,NA,TRUE,-0.126999999999995,NA,NA,NA,NA,TRUE,-0.292,-0.276,-0.207,-0.0919999999999996,0.128,0.00100000000000033,0.0219999999999998,-0.0859999999999999,-0.0329999999999999,-0.0740000000000003,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,-15.965,-4.574,-2.541,14.991,NA,TRUE,-0.101,0.139,0.0950000000000006,0.142,NA,-0.0110000000000001,-0.048,0.0589999999999997,-0.0730000000000004,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,NA,NA,19.862,3.15,NA,NA,NA,TRUE,-0.467,0.259,0.213,0.00200000000000067,NA,0.073,0.143,0.134,0.0720000000000001,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,0.526,1.304,1.177,NA,NA,NA,0.468,NA,NA,NA,NA,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,TRUE,NA,TRUE,9.967,21.588,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
